%eval_id interface pd             po             co             fa             kd             tc             response_fn_1  response_fn_2  response_fn_3  response_fn_4  response_fn_5  response_fn_6  response_fn_7  response_fn_8  response_fn_9  
17       bat        0.0001         0.235          8333.333333    0.577          1.5            1              1281.89954     3.23604        60.839         15.56          1.76521        0.663          30.6842        0.663          15.56          
18       bat        0.0002666666667 0.235          8333.333333    0.577          1.5            1              1281.92871     3.21382        60.8417        15.56          1.74299        0.6627         30.6842        0.6627         15.56          
19       bat        0.0004333333333 0.235          8333.333333    0.577          1.5            1              1281.84155     3.2041         60.8429        15.56          1.73187        0.6619         30.6843        0.6619         15.56          
20       bat        0.0006         0.235          8333.333333    0.577          1.5            1              1281.86353     3.19715        60.8438        15.56          1.72632        0.6634         30.6842        0.6634         15.56          
21       bat        0.0001         0.273          8333.333333    0.577          1.5            1              1282.45654     3.25965        60.4471        15.56          1.7791         0.6791         30.3092        0.6791         15.56          
22       bat        0.0002666666667 0.273          8333.333333    0.577          1.5            1              1282.52759     3.23604        60.4499        15.56          1.75688        0.6796         30.3092        0.6796         15.56          
23       bat        0.0004333333333 0.273          8333.333333    0.577          1.5            1              1282.4469      3.22632        60.4512        15.56          1.74576        0.6791         30.3091        0.6791         15.56          
24       bat        0.0006         0.273          8333.333333    0.577          1.5            1              1282.4469      3.21937        60.4521        15.56          1.73882        0.6791         30.3091        0.6791         15.56          
25       bat        0.0001         0.311          8333.333333    0.577          1.5            1              1283.13721     3.28326        60.035         15.56          1.79437        0.6971         29.9142        0.6971         15.56          
26       bat        0.0002666666667 0.311          8333.333333    0.577          1.5            1              1283.08521     3.25965        60.0379        15.56          1.77076        0.6967         29.9141        0.6967         15.56          
27       bat        0.0004333333333 0.311          8333.333333    0.577          1.5            1              1283.08582     3.24854        60.0393        15.56          1.75965        0.6966         29.9141        0.6966         15.56          
28       bat        0.0006         0.311          8333.333333    0.577          1.5            1              1283.14038     3.2416         60.0401        15.56          1.75271        0.6969         29.9142        0.6969         15.56          
29       bat        0.0001         0.349          8333.333333    0.577          1.5            1              1283.60242     3.30826        59.6005        15.56          1.80965        0.7155         29.4971        0.7155         15.56          
30       bat        0.0002666666667 0.349          8333.333333    0.577          1.5            1              1283.66943     3.28465        59.6035        15.56          1.78604        0.7159         29.4972        0.7159         15.56          
31       bat        0.0004333333333 0.349          8333.333333    0.577          1.5            1              1283.63        3.27354        59.6049        15.56          1.77354        0.7145         29.4973        0.7145         15.56          
32       bat        0.0006         0.349          8333.333333    0.577          1.5            1              1283.57422     3.2666         59.6058        15.56          1.7666         0.715          29.4973        0.715          15.56          
33       bat        0.0001         0.235          11666.66667    0.577          1.5            1              1278.82922     3.5166         57.2641        15.56          1.97076        0.9286         27.3991        0.9286         15.56          
34       bat        0.0002666666667 0.235          11666.66667    0.577          1.5            1              1278.85229     3.48465        57.2683        15.56          1.93882        0.9291         27.3992        0.9291         15.56          
35       bat        0.0004333333333 0.235          11666.66667    0.577          1.5            1              1278.87427     3.46937        57.2704        15.56          1.92354        0.9292         27.3991        0.9292         15.56          
36       bat        0.0006         0.235          11666.66667    0.577          1.5            1              1278.87219     3.45965        57.2717        15.56          1.91243        0.9273         27.3992        0.9273         15.56          
37       bat        0.0001         0.273          11666.66667    0.577          1.5            1              1278.66699     3.5416         56.8345        15.56          1.98743        0.9527         26.99          0.9527         15.56          
38       bat        0.0002666666667 0.273          11666.66667    0.577          1.5            1              1278.69385     3.50965        56.8385        15.56          1.9541         0.9525         26.9898        0.9525         15.56          
39       bat        0.0004333333333 0.273          11666.66667    0.577          1.5            1              1278.8689      3.49299        56.8403        15.56          1.93743        0.9511         26.99          0.9511         15.56          
40       bat        0.0006         0.273          11666.66667    0.577          1.5            1              1278.81958     3.48326        56.8416        15.56          1.92771        0.9518         26.9898        0.9518         15.56          
41       bat        0.0001         0.311          11666.66667    0.577          1.5            1              1278.47827     3.56938        56.381         15.56          2.0041         0.9771         26.5595        0.9771         15.56          
42       bat        0.0002666666667 0.311          11666.66667    0.577          1.5            1              1278.63477     3.53465        56.385         15.56          1.96938        0.9763         26.5595        0.9763         15.56          
43       bat        0.0004333333333 0.311          11666.66667    0.577          1.5            1              1278.52502     3.51938        56.387         15.56          1.95271        0.9756         26.5595        0.9756         15.56          
44       bat        0.0006         0.311          11666.66667    0.577          1.5            1              1278.65002     3.50826        56.3882        15.56          1.94299        0.9768         26.5596        0.9768         15.56          
45       bat        0.0001         0.349          11666.66667    0.577          1.5            1              1278.25        3.59715        55.904         15.56          2.02076        1.0019         26.1061        1.0019         15.56          
46       bat        0.0002666666667 0.349          11666.66667    0.577          1.5            1              1278.24365     3.56243        55.9082        15.56          1.98604        1.0027         26.106         1.0027         15.56          
47       bat        0.0004333333333 0.349          11666.66667    0.577          1.5            1              1278.26733     3.54576        55.9103        15.56          1.96938        1.0028         26.1059        1.0028         15.56          
48       bat        0.0006         0.349          11666.66667    0.577          1.5            1              1278.3479      3.53465        55.9115        15.56          1.95826        1.0022         26.1061        1.0022         15.56          
49       bat        0.0001         0.235          15000          0.577          1.5            1              1271.66199     3.74576        54.3716        15.56          2.14299        1.1946         24.785         1.1946         15.56          
50       bat        0.0002666666667 0.235          15000          0.577          1.5            1              1271.73804     3.7041         54.3769        15.56          2.09993        1.1944         24.7851        1.1944         15.56          
51       bat        0.0004333333333 0.235          15000          0.577          1.5            1              1271.87866     3.68326        54.3795        15.56          2.0791         1.1937         24.7852        1.1937         15.56          
52       bat        0.0006         0.235          15000          0.577          1.5            1              1271.8186      3.67076        54.3811        15.56          2.0666         1.1949         24.7852        1.1949         15.56          
53       bat        0.0001         0.273          15000          0.577          1.5            1              1270.95776     3.77493        53.9155        15.56          2.16104        1.2246         24.3534        1.2246         15.56          
54       bat        0.0002666666667 0.273          15000          0.577          1.5            1              1271.14026     3.73049        53.921         15.56          2.1166         1.2242         24.3532        1.2242         15.56          
55       bat        0.0004333333333 0.273          15000          0.577          1.5            1              1271.19116     3.70965        53.9236        15.56          2.09576        1.2245         24.3533        1.2245         15.56          
56       bat        0.0006         0.273          15000          0.577          1.5            1              1271.29077     3.69576        53.9254        15.56          2.08188        1.2238         24.3532        1.2238         15.56          
57       bat        0.0001         0.311          15000          0.577          1.5            1              1270.04565     3.8041         53.4371        15.56          2.1791         1.255          23.8997        1.255          15.56          
58       bat        0.0002666666667 0.311          15000          0.577          1.5            1              1270.2522      3.75826        53.4428        15.56          2.13465        1.2568         23.8997        1.2568         15.56          
59       bat        0.0004333333333 0.311          15000          0.577          1.5            1              1270.37354     3.73604        53.4455        15.56          2.11243        1.2557         23.8996        1.2557         15.56          
60       bat        0.0006         0.311          15000          0.577          1.5            1              1270.37671     3.72215        53.4472        15.56          2.09854        1.2558         23.8998        1.2558         15.56          
61       bat        0.0001         0.349          15000          0.577          1.5            1              1269.18726     3.83465        52.9358        15.56          2.19993        1.2905         23.4225        1.2905         15.56          
62       bat        0.0002666666667 0.349          15000          0.577          1.5            1              1269.40186     3.78743        52.9417        15.56          2.15271        1.29           23.4225        1.29           15.56          
63       bat        0.0004333333333 0.349          15000          0.577          1.5            1              1269.48022     3.76521        52.9445        15.56          2.13049        1.2901         23.4226        1.2901         15.56          
64       bat        0.0006         0.349          15000          0.577          1.5            1              1269.4502      3.75132        52.9463        15.56          2.11521        1.2883         23.4225        1.2883         15.56          
65       bat        0.0001         0.235          5000           0.6096666667   1.5            1              1283.84009     2.89854        63.9095        15.56          1.48882        0.3977         33.4165        0.3977         15.56          
66       bat        0.0002666666667 0.235          5000           0.6096666667   1.5            1              1283.86499     2.88604        63.911         15.56          1.47632        0.3975         33.4165        0.3975         15.56          
67       bat        0.0004333333333 0.235          5000           0.6096666667   1.5            1              1283.83984     2.88049        63.9118        15.56          1.47076        0.3977         33.4165        0.3977         15.56          
68       bat        0.0006         0.235          5000           0.6096666667   1.5            1              1283.87598     2.87632        63.9122        15.56          1.4666         0.3974         33.4165        0.3974         15.56          
69       bat        0.0001         0.273          5000           0.6096666667   1.5            1              1284.88672     2.91799        63.5967        15.56          1.50132        0.4075         33.1151        0.4075         15.56          
70       bat        0.0002666666667 0.273          5000           0.6096666667   1.5            1              1284.94946     2.90549        63.5982        15.56          1.48882        0.4076         33.115         0.4076         15.56          
71       bat        0.0004333333333 0.273          5000           0.6096666667   1.5            1              1284.92236     2.89993        63.599         15.56          1.48187        0.4068         33.1151        0.4068         15.56          
72       bat        0.0006         0.273          5000           0.6096666667   1.5            1              1284.94995     2.89576        63.5994        15.56          1.4791         0.4077         33.1151        0.4077         15.56          
73       bat        0.0001         0.311          5000           0.6096666667   1.5            1              1286.00916     2.93882        63.2667        15.56          1.51382        0.4176         32.7968        0.4176         15.56          
74       bat        0.0002666666667 0.311          5000           0.6096666667   1.5            1              1286.00513     2.92632        63.2683        15.56          1.50132        0.4179         32.7967        0.4179         15.56          
75       bat        0.0004333333333 0.311          5000           0.6096666667   1.5            1              1285.94507     2.92076        63.269         15.56          1.49437        0.4173         32.7968        0.4173         15.56          
76       bat        0.0006         0.311          5000           0.6096666667   1.5            1              1285.96118     2.9166         63.2695        15.56          1.4916         0.4183         32.7967        0.4183         15.56          
77       bat        0.0001         0.349          5000           0.6096666667   1.5            1              1287.12793     2.96104        62.918         15.56          1.52771        0.4289         32.46          0.4289         15.56          
78       bat        0.0002666666667 0.349          5000           0.6096666667   1.5            1              1287.13257     2.94715        62.9197        15.56          1.51382        0.4285         32.4601        0.4285         15.56          
79       bat        0.0004333333333 0.349          5000           0.6096666667   1.5            1              1287.09827     2.9416         62.9205        15.56          1.50826        0.4291         32.46          0.4291         15.56          
80       bat        0.0006         0.349          5000           0.6096666667   1.5            1              1287.1012      2.93743        62.921         15.56          1.5041         0.4291         32.46          0.4291         15.56          
81       bat        0.0001         0.235          8333.333333    0.6096666667   1.5            1              1287.28589     3.27215        59.4028        15.56          1.76521        0.663          29.2226        0.663          15.56          
82       bat        0.0002666666667 0.235          8333.333333    0.6096666667   1.5            1              1287.28906     3.25132        59.4055        15.56          1.74299        0.6627         29.2227        0.6627         15.56          
83       bat        0.0004333333333 0.235          8333.333333    0.6096666667   1.5            1              1287.38257     3.24021        59.4068        15.56          1.73187        0.6619         29.2228        0.6619         15.56          
84       bat        0.0006         0.235          8333.333333    0.6096666667   1.5            1              1287.40674     3.23326        59.4076        15.56          1.72632        0.6634         29.2227        0.6634         15.56          
85       bat        0.0001         0.273          8333.333333    0.6096666667   1.5            1              1287.58374     3.29576        59.0321        15.56          1.7791         0.6791         28.8677        0.6791         15.56          
86       bat        0.0002666666667 0.273          8333.333333    0.6096666667   1.5            1              1287.52551     3.27354        59.0349        15.56          1.75688        0.6796         28.8677        0.6796         15.56          
87       bat        0.0004333333333 0.273          8333.333333    0.6096666667   1.5            1              1287.57104     3.26243        59.0362        15.56          1.74576        0.6791         28.8676        0.6791         15.56          
88       bat        0.0006         0.273          8333.333333    0.6096666667   1.5            1              1287.57104     3.25549        59.0371        15.56          1.73882        0.6791         28.8676        0.6791         15.56          
89       bat        0.0001         0.311          8333.333333    0.6096666667   1.5            1              1287.79272     3.31938        58.6419        15.56          1.79437        0.6971         28.4936        0.6971         15.56          
90       bat        0.0002666666667 0.311          8333.333333    0.6096666667   1.5            1              1287.83618     3.29576        58.6448        15.56          1.77076        0.6967         28.4935        0.6967         15.56          
91       bat        0.0004333333333 0.311          8333.333333    0.6096666667   1.5            1              1287.83813     3.28465        58.6462        15.56          1.75965        0.6966         28.4935        0.6966         15.56          
92       bat        0.0006         0.311          8333.333333    0.6096666667   1.5            1              1287.81323     3.27771        58.6471        15.56          1.75271        0.6969         28.4936        0.6969         15.56          
93       bat        0.0001         0.349          8333.333333    0.6096666667   1.5            1              1287.8927      3.34437        58.2307        15.56          1.80965        0.7155         28.0984        0.7155         15.56          
94       bat        0.0002666666667 0.349          8333.333333    0.6096666667   1.5            1              1287.87036     3.32076        58.2338        15.56          1.78604        0.7159         28.0986        0.7159         15.56          
95       bat        0.0004333333333 0.349          8333.333333    0.6096666667   1.5            1              1287.89343     3.30826        58.2352        15.56          1.77354        0.7145         28.0986        0.7145         15.56          
96       bat        0.0006         0.349          8333.333333    0.6096666667   1.5            1              1287.97241     3.30132        58.2361        15.56          1.7666         0.715          28.0986        0.715          15.56          
97       bat        0.0001         0.235          11666.66667    0.6096666667   1.5            1              1281.76367     3.54854        56.0077        15.56          1.97076        0.9286         26.1138        0.9286         15.56          
98       bat        0.0002666666667 0.235          11666.66667    0.6096666667   1.5            1              1281.78223     3.5166         56.0115        15.56          1.93882        0.9291         26.1139        0.9291         15.56          
99       bat        0.0004333333333 0.235          11666.66667    0.6096666667   1.5            1              1281.80139     3.50132        56.0134        15.56          1.92354        0.9292         26.1138        0.9292         15.56          
100      bat        0.0006         0.235          11666.66667    0.6096666667   1.5            1              1281.79834     3.4916         56.0145        15.56          1.91243        0.9273         26.1139        0.9273         15.56          
101      bat        0.0001         0.273          11666.66667    0.6096666667   1.5            1              1281.35962     3.57354        55.598         15.56          1.98743        0.9527         25.7254        0.9527         15.56          
102      bat        0.0002666666667 0.273          11666.66667    0.6096666667   1.5            1              1281.3739      3.54021        55.602         15.56          1.9541         0.9525         25.7252        0.9525         15.56          
103      bat        0.0004333333333 0.273          11666.66667    0.6096666667   1.5            1              1281.45386     3.52493        55.6038        15.56          1.93743        0.9511         25.7253        0.9511         15.56          
104      bat        0.0006         0.273          11666.66667    0.6096666667   1.5            1              1281.39526     3.51521        55.6051        15.56          1.92771        0.9518         25.7252        0.9518         15.56          
105      bat        0.0001         0.311          11666.66667    0.6096666667   1.5            1              1280.84766     3.59993        55.1675        15.56          2.0041         0.9771         25.3164        0.9771         15.56          
106      bat        0.0002666666667 0.311          11666.66667    0.6096666667   1.5            1              1280.78137     3.5666         55.1715        15.56          1.96938        0.9763         25.3164        0.9763         15.56          
107      bat        0.0004333333333 0.311          11666.66667    0.6096666667   1.5            1              1280.88818     3.54993        55.1735        15.56          1.95271        0.9756         25.3164        0.9756         15.56          
108      bat        0.0006         0.311          11666.66667    0.6096666667   1.5            1              1280.84888     3.53882        55.1747        15.56          1.94299        0.9768         25.3165        0.9768         15.56          
109      bat        0.0001         0.349          11666.66667    0.6096666667   1.5            1              1280.24414     3.62771        54.7148        15.56          2.02076        1.0019         24.8854        1.0019         15.56          
110      bat        0.0002666666667 0.349          11666.66667    0.6096666667   1.5            1              1280.23169     3.59299        54.719         15.56          1.98604        1.0027         24.8854        1.0027         15.56          
111      bat        0.0004333333333 0.349          11666.66667    0.6096666667   1.5            1              1280.25317     3.57632        54.721         15.56          1.96938        1.0028         24.8853        1.0028         15.56          
112      bat        0.0006         0.349          11666.66667    0.6096666667   1.5            1              1280.33911     3.56521        54.7223        15.56          1.95826        1.0022         24.8855        1.0022         15.56          
113      bat        0.0001         0.235          15000          0.6096666667   1.5            1              1273.21802     3.77493        53.2589        15.56          2.14299        1.1946         23.6337        1.1946         15.56          
114      bat        0.0002666666667 0.235          15000          0.6096666667   1.5            1              1273.35229     3.73187        53.2642        15.56          2.09993        1.1944         23.6338        1.1944         15.56          
115      bat        0.0004333333333 0.235          15000          0.6096666667   1.5            1              1273.29126     3.71243        53.2668        15.56          2.0791         1.1937         23.6339        1.1937         15.56          
116      bat        0.0006         0.235          15000          0.6096666667   1.5            1              1273.45618     3.69854        53.2684        15.56          2.0666         1.1949         23.6339        1.1949         15.56          
117      bat        0.0001         0.273          15000          0.6096666667   1.5            1              1272.26318     3.80271        52.8254        15.56          2.16104        1.2246         23.2227        1.2246         15.56          
118      bat        0.0002666666667 0.273          15000          0.6096666667   1.5            1              1272.44312     3.75826        52.831         15.56          2.1166         1.2242         23.2226        1.2242         15.56          
119      bat        0.0004333333333 0.273          15000          0.6096666667   1.5            1              1272.49414     3.73743        52.8336        15.56          2.09576        1.2245         23.2227        1.2245         15.56          
120      bat        0.0006         0.273          15000          0.6096666667   1.5            1              1272.56628     3.72354        52.8353        15.56          2.08188        1.2238         23.2226        1.2238         15.56          
121      bat        0.0001         0.311          15000          0.6096666667   1.5            1              1271.3147      3.83049        52.3711        15.56          2.1791         1.255          22.7906        1.255          15.56          
122      bat        0.0002666666667 0.311          15000          0.6096666667   1.5            1              1271.33545     3.78604        52.3768        15.56          2.13465        1.2568         22.7906        1.2568         15.56          
123      bat        0.0004333333333 0.311          15000          0.6096666667   1.5            1              1271.51343     3.76382        52.3795        15.56          2.11243        1.2557         22.7905        1.2557         15.56          
124      bat        0.0006         0.311          15000          0.6096666667   1.5            1              1271.55835     3.74993        52.3812        15.56          2.09854        1.2558         22.7906        1.2558         15.56          
125      bat        0.0001         0.349          15000          0.6096666667   1.5            1              1270.13354     3.86104        51.8935        15.56          2.19993        1.2905         22.3357        1.2905         15.56          
126      bat        0.0002666666667 0.349          15000          0.6096666667   1.5            1              1270.34631     3.81382        51.9           15.56          2.15271        1.29           22.3357        1.29           15.56          
127      bat        0.0004333333333 0.349          15000          0.6096666667   1.5            1              1270.4231      3.7916         51.903         15.56          2.13049        1.2901         22.3358        1.2901         15.56          
128      bat        0.0006         0.349          15000          0.6096666667   1.5            1              1270.38867     3.77771        51.9049        15.56          2.11521        1.2883         22.3357        1.2883         15.56          
129      bat        0.0001         0.235          5000           0.6423333333   1.5            1              1291.87878     2.93743        62.3628        15.56          1.48882        0.3977         31.8525        0.3977         15.56          
130      bat        0.0002666666667 0.235          5000           0.6423333333   1.5            1              1291.81897     2.92632        62.3643        15.56          1.47632        0.3975         31.8525        0.3975         15.56          
131      bat        0.0004333333333 0.235          5000           0.6423333333   1.5            1              1291.87866     2.91937        62.365         15.56          1.47076        0.3977         31.8525        0.3977         15.56          
132      bat        0.0006         0.235          5000           0.6423333333   1.5            1              1291.83472     2.9166         62.3655        15.56          1.4666         0.3974         31.8525        0.3974         15.56          
133      bat        0.0001         0.273          5000           0.6423333333   1.5            1              1292.53296     2.95826        62.0666        15.56          1.50132        0.4075         31.5671        0.4075         15.56          
134      bat        0.0002666666667 0.273          5000           0.6423333333   1.5            1              1292.52539     2.94438        62.0682        15.56          1.48882        0.4076         31.5671        0.4076         15.56          
135      bat        0.0004333333333 0.273          5000           0.6423333333   1.5            1              1292.63672     2.93882        62.0689        15.56          1.48187        0.4068         31.5671        0.4068         15.56          
136      bat        0.0006         0.273          5000           0.6423333333   1.5            1              1292.62036     2.93465        62.0694        15.56          1.4791         0.4077         31.5671        0.4077         15.56          
137      bat        0.0001         0.311          5000           0.6423333333   1.5            1              1293.32288     2.97771        61.754         15.56          1.51382        0.4176         31.2657        0.4176         15.56          
138      bat        0.0002666666667 0.311          5000           0.6423333333   1.5            1              1293.25793     2.96521        61.7557        15.56          1.50132        0.4179         31.2656        0.4179         15.56          
139      bat        0.0004333333333 0.311          5000           0.6423333333   1.5            1              1293.29321     2.95826        61.7564        15.56          1.49437        0.4173         31.2657        0.4173         15.56          
140      bat        0.0006         0.311          5000           0.6423333333   1.5            1              1293.20264     2.95549        61.7569        15.56          1.4916         0.4183         31.2656        0.4183         15.56          
141      bat        0.0001         0.349          5000           0.6423333333   1.5            1              1293.93542     2.99854        61.4235        15.56          1.52771        0.4289         30.9467        0.4289         15.56          
142      bat        0.0002666666667 0.349          5000           0.6423333333   1.5            1              1293.91138     2.98604        61.4251        15.56          1.51382        0.4285         30.9467        0.4285         15.56          
143      bat        0.0004333333333 0.349          5000           0.6423333333   1.5            1              1293.9845      2.9791         61.4259        15.56          1.50826        0.4291         30.9467        0.4291         15.56          
144      bat        0.0006         0.349          5000           0.6423333333   1.5            1              1293.98877     2.97493        61.4265        15.56          1.5041         0.4291         30.9466        0.4291         15.56          
145      bat        0.0001         0.235          8333.333333    0.6423333333   1.5            1              1291.09485     3.30687        58.0891        15.56          1.76521        0.663          27.881         0.663          15.56          
146      bat        0.0002666666667 0.235          8333.333333    0.6423333333   1.5            1              1291.1355      3.28465        58.0918        15.56          1.74299        0.6627         27.881         0.6627         15.56          
147      bat        0.0004333333333 0.235          8333.333333    0.6423333333   1.5            1              1291.15039     3.27354        58.0931        15.56          1.73187        0.6619         27.8811        0.6619         15.56          
148      bat        0.0006         0.235          8333.333333    0.6423333333   1.5            1              1291.05505     3.2666         58.0939        15.56          1.72632        0.6634         27.881         0.6634         15.56          
149      bat        0.0001         0.273          8333.333333    0.6423333333   1.5            1              1291.07629     3.3291         57.7373        15.56          1.7791         0.6791         27.5438        0.6791         15.56          
150      bat        0.0002666666667 0.273          8333.333333    0.6423333333   1.5            1              1291.01001     3.30687        57.7401        15.56          1.75688        0.6796         27.5438        0.6796         15.56          
151      bat        0.0004333333333 0.273          8333.333333    0.6423333333   1.5            1              1291.05835     3.29576        57.7414        15.56          1.74576        0.6791         27.5437        0.6791         15.56          
152      bat        0.0006         0.273          8333.333333    0.6423333333   1.5            1              1291.05835     3.28882        57.7423        15.56          1.73882        0.6791         27.5437        0.6791         15.56          
153      bat        0.0001         0.311          8333.333333    0.6423333333   1.5            1              1290.84448     3.35271        57.3664        15.56          1.79437        0.6971         27.1883        0.6971         15.56          
154      bat        0.0002666666667 0.311          8333.333333    0.6423333333   1.5            1              1290.89331     3.3291         57.369         15.56          1.77076        0.6967         27.1883        0.6967         15.56          
155      bat        0.0004333333333 0.311          8333.333333    0.6423333333   1.5            1              1290.896       3.31799        57.3702        15.56          1.75965        0.6966         27.1882        0.6966         15.56          
156      bat        0.0006         0.311          8333.333333    0.6423333333   1.5            1              1290.86743     3.31104        57.371         15.56          1.75271        0.6969         27.1883        0.6969         15.56          
157      bat        0.0001         0.349          8333.333333    0.6423333333   1.5            1              1290.81763     3.37632        56.9731        15.56          1.80965        0.7155         26.8127        0.7155         15.56          
158      bat        0.0002666666667 0.349          8333.333333    0.6423333333   1.5            1              1290.79114     3.35271        56.9758        15.56          1.78604        0.7159         26.8128        0.7159         15.56          
159      bat        0.0004333333333 0.349          8333.333333    0.6423333333   1.5            1              1290.74365     3.3416         56.9771        15.56          1.77354        0.7145         26.8128        0.7145         15.56          
160      bat        0.0006         0.349          8333.333333    0.6423333333   1.5            1              1290.90454     3.33326        56.9779        15.56          1.7666         0.715          26.8128        0.715          15.56          
161      bat        0.0001         0.235          11666.66667    0.6423333333   1.5            1              1283.60596     3.57771        54.8524        15.56          1.97076        0.9286         24.929         0.9286         15.56          
162      bat        0.0002666666667 0.235          11666.66667    0.6423333333   1.5            1              1283.65735     3.54576        54.8562        15.56          1.93882        0.9291         24.9291        0.9291         15.56          
163      bat        0.0004333333333 0.235          11666.66667    0.6423333333   1.5            1              1283.6748      3.53049        54.8581        15.56          1.92354        0.9292         24.929         0.9292         15.56          
164      bat        0.0006         0.235          11666.66667    0.6423333333   1.5            1              1283.67139     3.52076        54.8593        15.56          1.91243        0.9273         24.9291        0.9273         15.56          
165      bat        0.0001         0.273          11666.66667    0.6423333333   1.5            1              1282.94897     3.60271        54.4626        15.56          1.98743        0.9527         24.559         0.9527         15.56          
166      bat        0.0002666666667 0.273          11666.66667    0.6423333333   1.5            1              1283.03003     3.56938        54.4666        15.56          1.9541         0.9525         24.5588        0.9525         15.56          
167      bat        0.0004333333333 0.273          11666.66667    0.6423333333   1.5            1              1282.9856      3.5541         54.4684        15.56          1.93743        0.9511         24.559         0.9511         15.56          
168      bat        0.0006         0.273          11666.66667    0.6423333333   1.5            1              1282.92297     3.54437        54.4697        15.56          1.92771        0.9518         24.5588        0.9518         15.56          
169      bat        0.0001         0.311          11666.66667    0.6423333333   1.5            1              1282.07324     3.6291         54.053         15.56          2.0041         0.9771         24.1692        0.9771         15.56          
170      bat        0.0002666666667 0.311          11666.66667    0.6423333333   1.5            1              1282.23926     3.59437        54.057         15.56          1.96938        0.9763         24.1692        0.9763         15.56          
171      bat        0.0004333333333 0.311          11666.66667    0.6423333333   1.5            1              1282.31763     3.57771        54.059         15.56          1.95271        0.9756         24.1692        0.9756         15.56          
172      bat        0.0006         0.311          11666.66667    0.6423333333   1.5            1              1282.24561     3.56799        54.0602        15.56          1.94299        0.9768         24.1694        0.9768         15.56          
173      bat        0.0001         0.349          11666.66667    0.6423333333   1.5            1              1281.39966     3.65549        53.6224        15.56          2.02076        1.0019         23.7583        1.0019         15.56          
174      bat        0.0002666666667 0.349          11666.66667    0.6423333333   1.5            1              1281.38147     3.62076        53.6266        15.56          1.98604        1.0027         23.7583        1.0027         15.56          
175      bat        0.0004333333333 0.349          11666.66667    0.6423333333   1.5            1              1281.4187      3.60271        53.6286        15.56          1.96938        1.0028         23.7582        1.0028         15.56          
176      bat        0.0006         0.349          11666.66667    0.6423333333   1.5            1              1281.48999     3.59299        53.6299        15.56          1.95826        1.0022         23.7583        1.0022         15.56          
177      bat        0.0001         0.235          15000          0.6423333333   1.5            1              1273.95874     3.80132        52.2355        15.56          2.14299        1.1946         22.5686        1.1946         15.56          
178      bat        0.0002666666667 0.235          15000          0.6423333333   1.5            1              1274.11987     3.75826        52.2408        15.56          2.09993        1.1944         22.5687        1.1944         15.56          
179      bat        0.0004333333333 0.235          15000          0.6423333333   1.5            1              1274.12231     3.73743        52.2434        15.56          2.0791         1.1937         22.5688        1.1937         15.56          
180      bat        0.0006         0.235          15000          0.6423333333   1.5            1              1274.19409     3.72493        52.245         15.56          2.0666         1.1949         22.5688        1.1949         15.56          
